threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
0.05,0.2095,0.20934186837367474,1.0,0.34620792324869737,0.9066745880246301,0.7643325673585024
0.060000000000000005,0.3762,0.24990949680222035,0.9894887720974678,0.39903660886319847,0.9066745880246301,0.7643325673585024
0.07,0.4578,0.2761866343955896,0.9813664596273292,0.4310598111227702,0.9066745880246301,0.7643325673585024
0.08000000000000002,0.5125,0.29758440046565776,0.9770664118490205,0.4562186279977691,0.9066745880246301,0.7643325673585024
0.09000000000000001,0.5554,0.31688715953307395,0.9727663640707119,0.4780464897863348,0.9066745880246301,0.7643325673585024
0.1,0.5857,0.3320773263433814,0.9684663162924032,0.49457118457972427,0.9066745880246301,0.7643325673585024
0.11000000000000001,0.6093,0.344798083504449,0.9627329192546584,0.5077485195917854,0.9066745880246301,0.7643325673585024
0.12000000000000001,0.6314,0.3578440121363555,0.957955088389871,0.521049896049896,0.9066745880246301,0.7643325673585024
0.13,0.6483,0.3684891023272996,0.9531772575250836,0.5315039296656454,0.9066745880246301,0.7643325673585024
0.14,0.6625,0.3780905287181438,0.9498327759197325,0.5408787920010882,0.9066745880246301,0.7643325673585024
0.15000000000000002,0.6763,0.3880187940485513,0.94696607740086,0.5504791001249827,0.9066745880246301,0.7643325673585024
0.16000000000000003,0.6865,0.3958,0.9455327281414238,0.5580149443112928,0.9066745880246301,0.7643325673585024
0.17000000000000004,0.696,0.40307062436028657,0.9407548972766364,0.5643450845514474,0.9066745880246301,0.7643325673585024
0.18000000000000005,0.7053,0.41044463087248323,0.9350215002388915,0.570470776854686,0.9066745880246301,0.7643325673585024
0.19,0.714,0.4178272980501393,0.9316770186335404,0.5769230769230769,0.9066745880246301,0.7643325673585024
0.2,0.7221,0.42487954445904513,0.926899187768753,0.5826700705811684,0.9066745880246301,0.7643325673585024
0.21000000000000002,0.73,0.43208771537256657,0.9225991399904443,0.5885400792441329,0.9066745880246301,0.7643325673585024
0.22000000000000003,0.7356,0.4374290256643198,0.9202102245580507,0.5929802955665024,0.9066745880246301,0.7643325673585024
0.23000000000000004,0.7417,0.4433918669131238,0.9168657429526995,0.5977262108705809,0.9066745880246301,0.7643325673585024
0.24000000000000005,0.7472,0.4488836662749706,0.9125656951743908,0.6017643352236925,0.9066745880246301,0.7643325673585024
0.25000000000000006,0.7512,0.4528752087807206,0.906832298136646,0.6040738383195416,0.9066745880246301,0.7643325673585024
0.26000000000000006,0.7559,0.4578692493946731,0.9034878165312948,0.60774546038888,0.9066745880246301,0.7643325673585024
0.27,0.7611,0.4635467980295567,0.8991877687529861,0.6117341134405981,0.9066745880246301,0.7643325673585024
0.28,0.766,0.46916354556803996,0.89775441949355,0.6162676287307314,0.9066745880246301,0.7643325673585024
0.29000000000000004,0.7709,0.4749367088607595,0.8963210702341137,0.6208836670527883,0.9066745880246301,0.7643325673585024
0.30000000000000004,0.7745,0.4791452111225541,0.8891543239369326,0.6227204283085159,0.9066745880246301,0.7643325673585024
0.31000000000000005,0.7788,0.4844281601674954,0.8843764930721453,0.6259722691917484,0.9066745880246301,0.7643325673585024
0.32000000000000006,0.7828,0.4895086321381142,0.8805542283803154,0.6292249914646637,0.9066745880246301,0.7643325673585024
0.33,0.7875,0.49568733153638816,0.8786430960344004,0.633810098225056,0.9066745880246301,0.7643325673585024
0.34,0.7907,0.5,0.8743430482560918,0.6361898140100817,0.9066745880246301,0.7643325673585024
0.35000000000000003,0.7942,0.504857063558146,0.8690874343048256,0.6386938202247191,0.9066745880246301,0.7643325673585024
0.36000000000000004,0.7974,0.509423347398031,0.8652651696129957,0.6412889518413598,0.9066745880246301,0.7643325673585024
0.37000000000000005,0.7997,0.5127913587265491,0.8619206880076445,0.6430226341115666,0.9066745880246301,0.7643325673585024
0.38000000000000006,0.8034,0.518336702281259,0.8576206402293359,0.6461483081353492,0.9066745880246301,0.7643325673585024
0.39000000000000007,0.8066,0.523225241016652,0.8557095078834209,0.6493836113125453,0.9066745880246301,0.7643325673585024
