model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Stacking,0.5,0.8341,0.5723333333333334,0.8203535594839942,0.6742587865698016,0.9066745880246301,0.7643325673585024
SoftVoting,0.5,0.835,0.5745038681466532,0.8160535117056856,0.6742992499013029,0.9058201738545517,0.7639091905665417
XGBoost_RandomizedSearch,0.5,0.8345,0.5736877523553163,0.8146201624462494,0.6732477788746298,0.9051171553494756,0.7636706025217729
LogisticRegression_GridSearch,0.5,0.8332,0.5705277132426153,0.8213091256569517,0.6733254994124559,0.9065603237250814,0.7631364719637884
LightGBM_RandomizedSearch,0.5,0.8343,0.5736486486486486,0.8112756808408982,0.6720759944587373,0.9029983713560731,0.758715351042043
